City,Week,Product,Quantity Ordered
Atlanta,1,20in Monitor,9
Atlanta,1,27in 4K Gaming Monitor,5
Atlanta,1,27in FHD Monitor,11
Atlanta,1,34in Ultrawide Monitor,5
Atlanta,1,AA Batteries (4-pack),45
Atlanta,1,AAA Batteries (4-pack),39
Atlanta,1,Apple Airpods Headphones,29
Atlanta,1,Bose SoundSport Headphones,21
Atlanta,1,Flatscreen TV,10
Atlanta,1,Google Phone,7
Atlanta,1,LG Dryer,1
Atlanta,1,Lightning Charging Cable,32
Atlanta,1,Macbook Pro Laptop,6
Atlanta,1,ThinkPad Laptop,7
Atlanta,1,USB-C Charging Cable,31
Atlanta,1,Vareebadd Phone,4
Atlanta,1,Wired Headphones,26
Atlanta,1,iPhone,13
Atlanta,2,20in Monitor,8
Atlanta,2,27in 4K Gaming Monitor,5
Atlanta,2,27in FHD Monitor,5
Atlanta,2,34in Ultrawide Monitor,9
Atlanta,2,AA Batteries (4-pack),18
Atlanta,2,AAA Batteries (4-pack),42
Atlanta,2,Apple Airpods Headphones,9
Atlanta,2,Bose SoundSport Headphones,18
Atlanta,2,Flatscreen TV,4
Atlanta,2,Google Phone,6
Atlanta,2,LG Dryer,1
Atlanta,2,Lightning Charging Cable,25
Atlanta,2,Macbook Pro Laptop,3
Atlanta,2,ThinkPad Laptop,10
Atlanta,2,USB-C Charging Cable,17
Atlanta,2,Vareebadd Phone,1
Atlanta,2,Wired Headphones,16
Atlanta,2,iPhone,6
Atlanta,3,27in 4K Gaming Monitor,5
Atlanta,3,27in FHD Monitor,9
Atlanta,3,34in Ultrawide Monitor,5
Atlanta,3,AA Batteries (4-pack),26
Atlanta,3,AAA Batteries (4-pack),24
Atlanta,3,Apple Airpods Headphones,17
Atlanta,3,Bose SoundSport Headphones,13
Atlanta,3,Flatscreen TV,3
Atlanta,3,Google Phone,4
Atlanta,3,LG Dryer,2
Atlanta,3,Lightning Charging Cable,26
Atlanta,3,Macbook Pro Laptop,3
Atlanta,3,ThinkPad Laptop,9
Atlanta,3,USB-C Charging Cable,23
Atlanta,3,Wired Headphones,19
Atlanta,3,iPhone,8
Atlanta,4,20in Monitor,3
Atlanta,4,27in 4K Gaming Monitor,5
Atlanta,4,27in FHD Monitor,7
Atlanta,4,34in Ultrawide Monitor,2
Atlanta,4,AA Batteries (4-pack),26
Atlanta,4,AAA Batteries (4-pack),27
Atlanta,4,Apple Airpods Headphones,15
Atlanta,4,Bose SoundSport Headphones,11
Atlanta,4,Flatscreen TV,6
Atlanta,4,Google Phone,8
Atlanta,4,LG Dryer,1
Atlanta,4,Lightning Charging Cable,31
Atlanta,4,Macbook Pro Laptop,3
Atlanta,4,ThinkPad Laptop,6
Atlanta,4,USB-C Charging Cable,21
Atlanta,4,Vareebadd Phone,3
Atlanta,4,Wired Headphones,23
Atlanta,4,iPhone,10
Atlanta,5,20in Monitor,1
Atlanta,5,27in 4K Gaming Monitor,6
Atlanta,5,27in FHD Monitor,5
Atlanta,5,34in Ultrawide Monitor,7
Atlanta,5,AA Batteries (4-pack),30
Atlanta,5,AAA Batteries (4-pack),27
Atlanta,5,Apple Airpods Headphones,13
Atlanta,5,Bose SoundSport Headphones,16
Atlanta,5,Flatscreen TV,6
Atlanta,5,Google Phone,3
Atlanta,5,LG Washing Machine,2
Atlanta,5,Lightning Charging Cable,24
Atlanta,5,Macbook Pro Laptop,4
Atlanta,5,ThinkPad Laptop,2
Atlanta,5,USB-C Charging Cable,24
Atlanta,5,Vareebadd Phone,1
Atlanta,5,Wired Headphones,25
Atlanta,5,iPhone,10
Atlanta,6,20in Monitor,8
Atlanta,6,27in 4K Gaming Monitor,9
Atlanta,6,27in FHD Monitor,9
Atlanta,6,34in Ultrawide Monitor,11
Atlanta,6,AA Batteries (4-pack),35
Atlanta,6,AAA Batteries (4-pack),26
Atlanta,6,Apple Airpods Headphones,13
Atlanta,6,Bose SoundSport Headphones,17
Atlanta,6,Flatscreen TV,6
Atlanta,6,Google Phone,6
Atlanta,6,LG Washing Machine,1
Atlanta,6,Lightning Charging Cable,26
Atlanta,6,Macbook Pro Laptop,6
Atlanta,6,ThinkPad Laptop,8
Atlanta,6,USB-C Charging Cable,32
Atlanta,6,Vareebadd Phone,4
Atlanta,6,Wired Headphones,20
Atlanta,6,iPhone,15
Atlanta,7,20in Monitor,4
Atlanta,7,27in 4K Gaming Monitor,6
Atlanta,7,27in FHD Monitor,9
Atlanta,7,34in Ultrawide Monitor,5
Atlanta,7,AA Batteries (4-pack),26
Atlanta,7,AAA Batteries (4-pack),45
Atlanta,7,Apple Airpods Headphones,21
Atlanta,7,Bose SoundSport Headphones,19
Atlanta,7,Flatscreen TV,12
Atlanta,7,Google Phone,5
Atlanta,7,LG Washing Machine,2
Atlanta,7,Lightning Charging Cable,33
Atlanta,7,Macbook Pro Laptop,8
Atlanta,7,ThinkPad Laptop,3
Atlanta,7,USB-C Charging Cable,34
Atlanta,7,Vareebadd Phone,1
Atlanta,7,Wired Headphones,26
Atlanta,7,iPhone,7
Atlanta,8,20in Monitor,6
Atlanta,8,27in 4K Gaming Monitor,3
Atlanta,8,27in FHD Monitor,8
Atlanta,8,34in Ultrawide Monitor,10
Atlanta,8,AA Batteries (4-pack),33
Atlanta,8,AAA Batteries (4-pack),47
Atlanta,8,Apple Airpods Headphones,26
Atlanta,8,Bose SoundSport Headphones,15
Atlanta,8,Flatscreen TV,8
Atlanta,8,Google Phone,7
Atlanta,8,LG Dryer,1
Atlanta,8,Lightning Charging Cable,30
Atlanta,8,Macbook Pro Laptop,6
Atlanta,8,ThinkPad Laptop,10
Atlanta,8,USB-C Charging Cable,35
Atlanta,8,Vareebadd Phone,2
Atlanta,8,Wired Headphones,16
Atlanta,8,iPhone,6
Atlanta,9,20in Monitor,3
Atlanta,9,27in 4K Gaming Monitor,6
Atlanta,9,27in FHD Monitor,8
Atlanta,9,34in Ultrawide Monitor,11
Atlanta,9,AA Batteries (4-pack),42
Atlanta,9,AAA Batteries (4-pack),44
Atlanta,9,Apple Airpods Headphones,26
Atlanta,9,Bose SoundSport Headphones,14
Atlanta,9,Flatscreen TV,9
Atlanta,9,Google Phone,4
Atlanta,9,LG Washing Machine,1
Atlanta,9,Lightning Charging Cable,38
Atlanta,9,Macbook Pro Laptop,2
Atlanta,9,ThinkPad Laptop,6
Atlanta,9,USB-C Charging Cable,34
Atlanta,9,Vareebadd Phone,3
Atlanta,9,Wired Headphones,21
Atlanta,9,iPhone,10
Atlanta,10,20in Monitor,11
Atlanta,10,27in 4K Gaming Monitor,10
Atlanta,10,27in FHD Monitor,9
Atlanta,10,34in Ultrawide Monitor,6
Atlanta,10,AA Batteries (4-pack),41
Atlanta,10,AAA Batteries (4-pack),37
Atlanta,10,Apple Airpods Headphones,27
Atlanta,10,Bose SoundSport Headphones,16
Atlanta,10,Flatscreen TV,9
Atlanta,10,Google Phone,11
Atlanta,10,LG Dryer,1
Atlanta,10,LG Washing Machine,2
Atlanta,10,Lightning Charging Cable,41
Atlanta,10,Macbook Pro Laptop,6
Atlanta,10,ThinkPad Laptop,7
Atlanta,10,USB-C Charging Cable,32
Atlanta,10,Vareebadd Phone,2
Atlanta,10,Wired Headphones,37
Atlanta,10,iPhone,15
Atlanta,11,20in Monitor,6
Atlanta,11,27in 4K Gaming Monitor,10
Atlanta,11,27in FHD Monitor,8
Atlanta,11,34in Ultrawide Monitor,15
Atlanta,11,AA Batteries (4-pack),36
Atlanta,11,AAA Batteries (4-pack),44
Atlanta,11,Apple Airpods Headphones,20
Atlanta,11,Bose SoundSport Headphones,23
Atlanta,11,Flatscreen TV,7
Atlanta,11,Google Phone,12
Atlanta,11,Lightning Charging Cable,34
Atlanta,11,Macbook Pro Laptop,8
Atlanta,11,ThinkPad Laptop,2
